ProteinName,FullPeptideName,transition_group_id,transition_name,RetentionTime,Annotation,PrecursorMz,MS1 Res,ProductMz,MS2 Res,Dwell,Fragmentor,Collision Energy,Cell Accelerator Voltage,LibraryIntensity,decoy,PeptideSequence,LabelType,PrecursorCharge,FragmentCharge,FragmentType,FragmentSeriesNumber,quantifying_transition,identifying_transition,detecting_transition
phe-L,,phe-L,phe-L.phe-L_2.Light,2.213662302,,164,Unit,103,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
asp-L,,asp-L,asp-L.asp-L_1.Heavy,2.659676643,,136,Unit,91,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
asp-L,,asp-L,asp-L.asp-L_1.Light,2.659676643,,132,Unit,88,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
asp-L,,asp-L,asp-L.asp-L_2.Light,2.659676643,,132,Unit,115,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
glu-L,,glu-L,glu-L.glu-L_1.Heavy,2.672328177,,151,Unit,133,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
glu-L,,glu-L,glu-L.glu-L_1.Light,2.672328177,,146,Unit,128,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
glu-L,,glu-L,glu-L.glu-L_2.Light,2.672328177,,146,Unit,102,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
skm,,skm,skm.skm_1.Heavy,2.937920638,,180.0245,Unit,99.02013,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
skm,,skm,skm.skm_1.Light,2.937920638,,173.001,Unit,93,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
skm,,skm,skm.skm_2.Light,3.045830622,,173.001,Unit,73,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
glx,,glx,glx.glx_1.Heavy,3.045830622,,75,Unit,46,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
glx,,glx,glx.glx_1.Light,3.232567831,,73,Unit,45,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
glyclt,,glyclt,glyclt.glyclt_1.Heavy,3.166403963,,77,Unit,48,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
