component_name,component_group_name,n_heavy_l ,n_heavy_u,n_light_l,n_light_u,n_detecting_l,n_detecting_u,n_quantifying_l,n_quantifying_u,n_identifying_l,n_identifying_u,n_transitions_l,n_transitions_u,ion_ratio_pair_name_1,ion_ratio_pair_name_2,ion_ratio_l,ion_ratio_u,retention_time_l,retention_time_u,intensity_l,intensity_u,overall_quality_l,overall_quality_u,metaValue_peak_apex_int_l,metaValue_peak_apex_int_u,metaValue_logSN_l,metaValue_logSN_u,metaValue_var_xcorr_coelution_l,metaValue_var_xcorr_coelution_u,metaValue_var_xcorr_coelution_weighted_l,metaValue_var_xcorr_coelution_weighted_u,metaValue_var_xcorr_shape_l,metaValue_var_xcorr_shape_u,metaValue_var_xcorr_shape_weighted_l,metaValue_var_xcorr_shape_weighted_u
SUC_M2_C,SUC,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
SUC_M3_C,SUC,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
SUC_M3_D,SUC,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
SUC_M4_D,SUC,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
MAL_M0,MAL,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
MAL_M1,MAL,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
MAL_M2,MAL,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
MAL_M3,MAL,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
MAL_M4,MAL,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
aKG_M0_A,aKG,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
aKG_M1_A,aKG,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
aKG_M1_B,aKG,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
aKG_M2_B,aKG,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
aKG_M2_C,aKG,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
aKG_M3_C,aKG,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
aKG_M3_D,aKG,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
aKG_M4_D,aKG,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
aKG_M4_E,aKG,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
aKG_M5_E,aKG,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
CITx_M0_A,CITx,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
CITx_M1_A,CITx,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
CITx_M1_B,CITx,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
CITx_M2_B,CITx,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
CITx_M2_C,CITx,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
CITx_M3_C,CITx,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
CITx_M3_D,CITx,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
CITx_M4_D,CITx,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
CITx_M4_E,CITx,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
CITx_M5_E,CITx,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
CITx_M5_F,CITx,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
CITx_M6_F,CITx,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
HYPR_M0,HYPR,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
HYPR-M1,HYPR,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
HYPR_M2,HYPR,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
HYPR-M3,HYPR,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
