component_name,component_group_name,n_heavy_l ,n_heavy_u,n_light_l,n_light_u,n_detecting_l,n_detecting_u,n_quantifying_l,n_quantifying_u,n_identifying_l,n_identifying_u,n_transitions_l,n_transitions_u,ion_ratio_pair_name_1,ion_ratio_pair_name_2,ion_ratio_l,ion_ratio_u,retention_time_l,retention_time_u,intensity_l,intensity_u,overall_quality_l,overall_quality_u,metaValue_peak_apex_int_l,metaValue_peak_apex_int_u,metaValue_logSN_l,metaValue_logSN_u,metaValue_var_xcorr_coelution_l,metaValue_var_xcorr_coelution_u,metaValue_var_xcorr_coelution_weighted_l,metaValue_var_xcorr_coelution_weighted_u,metaValue_var_xcorr_shape_l,metaValue_var_xcorr_shape_u,metaValue_var_xcorr_shape_weighted_l,metaValue_var_xcorr_shape_weighted_u
E4P_M0,E4P,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
Ru5P_M0,Ru5P,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
F6P_M0,F6P,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
G6P_M0,G6P,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
6PG_M0,6PG,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
S7P_M0,S7P,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
aKG_M0_A,aKG,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
HYPR_M0,HYPR,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
FUM_M0_A,FUM,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
CITx_M0_A,CITx,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
MAL_M0,MAL,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
AMP_M0,AMP,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
SUC_M0_A,SUC,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
