component_name,component_group_name,n_heavy_l ,n_heavy_u,n_light_l,n_light_u,n_detecting_l,n_detecting_u,n_quantifying_l,n_quantifying_u,n_identifying_l,n_identifying_u,n_transitions_l,n_transitions_u,ion_ratio_pair_name_1,ion_ratio_pair_name_2,ion_ratio_l,ion_ratio_u,retention_time_l,retention_time_u,intensity_l,intensity_u,overall_quality_l,overall_quality_u,metaValue_sn_score_l,metaValue_sn_score_u,metaValue_peak_apex_int_l,metaValue_peak_apex_int_u,metaValue_peak_apex_int_l,metaValue_peak_apex_int_u,metaValue_total_width_l,metaValue_total_width_u,metaValue_width_at_50_l,metaValue_width_at_50_u,metaValue_tailing_factor_l,metaValue_tailing_factor_u,metaValue_asymmetry_factor_l,metaValue_asymmetry_factor_u,metaValue_baseline_delta_2_height_l,metaValue_baseline_delta_2_height_u,metaValue_points_across_baseline_l,metaValue_points_across_baseline_u,metaValue_points_across_half_height_l,metaValue_points_across_half_height_u,metaValue_logSN_l,metaValue_logSN_u,metaValue_calculated_concentration_l,metaValue_calculated_concentration_u
trp-L.trp-L_1.Heavy,trp-L,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
trp-L.trp-L_1.Light,trp-L,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
trp-L.trp-L_2.Light,trp-L,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
5oxpro.5oxpro_1.Heavy,5oxpro,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
5oxpro.5oxpro_1.Light,5oxpro,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
5oxpro.5oxpro_2.Light,5oxpro,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
lac-L.lac-L_1.Heavy,lac-L,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
lac-L.lac-L_1.Light,lac-L,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
lac-L.lac-L_2.Light,lac-L,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
urate.urate_1.Heavy,urate,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
urate.urate_1.Light,urate,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
urate.urate_2.Light,urate,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
gthrd.gthrd_1.Heavy,gthrd,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
gthrd.gthrd_1.Light,gthrd,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
gthrd.gthrd_2.Light,gthrd,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
nad.nad_1.Heavy,nad,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
nad.nad_1.Light,nad,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
nad.nad_2.Light,nad,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
pyr.pyr_1.Heavy,pyr,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
pyr.pyr_1.Light,pyr,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
pyr.pyr_2.Light,pyr,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
g3p.g3p_1.Heavy,g3p,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
g3p.g3p_1.Light,g3p,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
g3p.g3p_2.Light,g3p,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
g6p.g6p_1.Heavy,g6p,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
g6p.g6p_1.Light,g6p,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
g6p.g6p_2.Heavy,g6p,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
g6p.g6p_2.Light,g6p,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
r5p.r5p_1.Heavy,r5p,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
r5p.r5p_1.Light,r5p,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
r5p.r5p_2.Light,r5p,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
f6p.f6p_1.Heavy,f6p,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
f6p.f6p_1.Light,f6p,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
f6p.f6p_2.Light,f6p,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
s7p.s7p_1.Heavy,s7p,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
s7p.s7p_1.Light,s7p,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
s7p.s7p_2.Light,s7p,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
glyc3p.glyc3p_1.Heavy,glyc3p,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
glyc3p.glyc3p_1.Light,glyc3p,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
glyc3p.glyc3p_2.Light,glyc3p,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
g1p.g1p_1.Heavy,g1p,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
g1p.g1p_1.Light,g1p,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
g1p.g1p_2.Light,g1p,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
ru5p-D.ru5p-D_1.Heavy,ru5p-D,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
ru5p-D.ru5p-D_1.Light,ru5p-D,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
ru5p-D.ru5p-D_2.Light,ru5p-D,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
cmp.cmp_1.Heavy,cmp,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
cmp.cmp_1.Light,cmp,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
cmp.cmp_2.Light,cmp,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
2obut.2obut_1.Heavy,2obut,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
2obut.2obut_1.Light,2obut,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
2obut.2obut_2.Light,2obut,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
f1p.f1p_1.Heavy,f1p,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
f1p.f1p_1.Light,f1p,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
f1p.f1p_2.Light,f1p,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
dcmp.dcmp_1.Heavy,dcmp,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
dcmp.dcmp_1.Light,dcmp,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
dcmp.dcmp_2.Light,dcmp,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
ump.ump_1.Heavy,ump,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
ump.ump_1.Light,ump,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
ump.ump_2.Light,ump,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
dhap.dhap_1.Heavy,dhap,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
dhap.dhap_1.Light,dhap,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
dhap.dhap_2.Light,dhap,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
dump.dump_1.Heavy,dump,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
dump.dump_1.Light,dump,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
dump.dump_2.Light,dump,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
dimp.dimp_1.Heavy,dimp,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
dimp.dimp_1.Light,dimp,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
dimp.dimp_2.Light,dimp,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
35cgmp.35cgmp_1.Heavy,35cgmp,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
35cgmp.35cgmp_1.Light,35cgmp,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
35cgmp.35cgmp_2.Light,35cgmp,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
dgmp.dgmp_1.Heavy,dgmp,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
dgmp.dgmp_1.Light,dgmp,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
dgmp.dgmp_2.Light,dgmp,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
dtmp.dtmp_1.Heavy,dtmp,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
dtmp.dtmp_1.Light,dtmp,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
ribflv.ribflv_1.Heavy,ribflv,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
ribflv.ribflv_1.Light,ribflv,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
amp.amp_1.Heavy,amp,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
amp.amp_1.Light,amp,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
amp.amp_2.Light,amp,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
gmp.gmp_1.Heavy,gmp,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
gmp.gmp_1.Light,gmp,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
